,date,text,compound,positive,negative,neutral,tokens
0,2020-09-02,"If you've interacted with cryptocurrencies in the past couple of years, there's a good chance you've used MetaMask. It's a cryptocurrency wallet in the form of a browser extension that supports Ether… [+2291 chars]",0.7506,0.209,0.0,0.791,"['youve', 'interacted', 'cryptocurrencies', 'past', 'couple', 'years', 'theres', 'good', 'chance', 'youve', 'used', 'metamask', 'cryptocurrency', 'wallet', 'form', 'browser', 'extension', 'supports', 'ether', 'chars']"
1,2020-08-17,"TL;DR: The Mega Blockchain Mastery Bundle is on sale for £29.81 as of August 17, saving you 97% on list price.
Cash isn't necessarily king anymore. You've probably heard that cryptocurrency and bloc… [+1286 chars]",0.0,0.0,0.0,1.0,"['tldr', 'mega', 'blockchain', 'mastery', 'bundle', 'sale', 'august', 'saving', 'list', 'pricecash', 'isnt', 'necessarily', 'king', 'anymore', 'youve', 'probably', 'heard', 'cryptocurrency', 'bloc', 'chars']"
2,2020-08-26,"LONDON (Reuters) - It sounds like a surefire bet. You lend money to a borrower who puts up collateral that exceeds the size of the loan, and then you earn interest of about 20%. What could possibly g… [+7143 chars]",0.7579,0.181,0.0,0.819,"['london', 'reuters', 'sounds', 'like', 'surefire', 'bet', 'lend', 'money', 'borrower', 'puts', 'collateral', 'exceeds', 'size', 'loan', 'earn', 'interest', 'could', 'possibly', 'g', 'chars']"
3,2020-08-25,"NEW YORK (Reuters) - Brooklyn-based technology startup ConsenSys has acquired JPMorgan Chase &amp; Co’s (JPM.N) marquee blockchain platform Quorum, the companies said on Tuesday. 
As part of the dea… [+1915 chars]",0.0,0.0,0.0,1.0,"['new', 'york', 'reuters', 'brooklynbased', 'technology', 'startup', 'consensys', 'acquired', 'jpmorgan', 'chase', 'amp', 'cos', 'jpmn', 'marquee', 'blockchain', 'platform', 'quorum', 'companies', 'said', 'tuesday', 'part', 'dea', 'chars']"
4,2020-08-19,"An outspoken Bitcoin whale who rarely shows affection for anything other than BTC says two crypto assets have potential.
The pseudonymous trader known as Joe007 says UNUS SED LEO (LEO) may be a soli… [+1503 chars]",-0.2677,0.045,0.074,0.881,"['outspoken', 'bitcoin', 'whale', 'rarely', 'shows', 'affection', 'anything', 'btc', 'says', 'two', 'crypto', 'assets', 'potentialthe', 'pseudonymous', 'trader', 'known', 'joe', 'says', 'unus', 'sed', 'leo', 'leo', 'may', 'soli', 'chars']"
5,2020-08-14,"REUTERS/Rick Wilking
<ul><li>Michael Novogratz told Bloomberg the price of gold could certainly get up to $3,000. </li><li>The Galaxy Digital CEO and co-founder said the next Fed meeting could be th… [+1981 chars]",0.34,0.072,0.0,0.928,"['reutersrick', 'wilkingullimichael', 'novogratz', 'told', 'bloomberg', 'price', 'gold', 'could', 'certainly', 'get', 'lilithe', 'galaxy', 'digital', 'ceo', 'cofounder', 'said', 'next', 'fed', 'meeting', 'could', 'th', 'chars']"
6,2020-09-03,"Our robot colleague Satoshi Nakaboto writes about Bitcoin BTC every fucking day.
Welcome to another edition of Bitcoin Today, where I, Satoshi Nakaboto, tell you whats been going on with Bitcoin in … [+3014 chars]",0.507,0.09,0.0,0.91,"['robot', 'colleague', 'satoshi', 'nakaboto', 'writes', 'bitcoin', 'btc', 'every', 'fucking', 'daywelcome', 'another', 'edition', 'bitcoin', 'today', 'satoshi', 'nakaboto', 'tell', 'whats', 'going', 'bitcoin', 'chars']"
7,2020-08-11,"Ethereum is one of the most growing cryptocurrencies in the recent times
 And if you’re looking forward to investing in the world’s first peer-to-peer computing network, then you’re not the only one… [+11039 chars]",0.2484,0.057,0.0,0.943,"['ethereum', 'one', 'growing', 'cryptocurrencies', 'recent', 'times', 'youre', 'looking', 'forward', 'investing', 'worlds', 'first', 'peertopeer', 'computing', 'network', 'youre', 'one', 'chars']"
8,2020-09-01,"Ethereum, having long played second fiddle to the number one cryptocurrency, bitcoin, is stepping into the limelight.
The ethereum price, climbing more than 10% over the last 24-hour trading period … [+2813 chars]",0.4019,0.11,0.0,0.89,"['ethereum', 'long', 'played', 'second', 'fiddle', 'number', 'one', 'cryptocurrency', 'bitcoin', 'stepping', 'limelightthe', 'ethereum', 'price', 'climbing', 'last', 'hour', 'trading', 'period', 'chars']"
9,2020-09-01,"POLAND - 2020/06/15: In this photo illustration an Ethereum logo seen displayed on a smartphone. ... [+] (Photo Illustration by Mateusz Slodkowski/SOPA Images/LightRocket via Getty Images)
SOPA Imag… [+2371 chars]",0.0,0.0,0.0,1.0,"['poland', 'photo', 'illustration', 'ethereum', 'logo', 'seen', 'displayed', 'smartphone', 'photo', 'illustration', 'mateusz', 'slodkowskisopa', 'imageslightrocket', 'via', 'getty', 'imagessopa', 'imag', 'chars']"
10,2020-09-01,"The price of Bitcoin looks to enter a new range after a key breakout.
SOPA Images/LightRocket via Getty Images
The price of Bitcoin rose to as high as $12,086 on Coinbase, as Ethereum (ETH) buoyed … [+3138 chars]",0.0,0.0,0.0,1.0,"['price', 'bitcoin', 'looks', 'enter', 'new', 'range', 'key', 'breakoutsopa', 'imageslightrocket', 'via', 'getty', 'imagesthe', 'price', 'bitcoin', 'rose', 'high', 'coinbase', 'ethereum', 'eth', 'buoyed', 'chars']"
11,2020-08-10,"Last week, hackers took control of several popular YouTube channels to broadcast a scam,  asking people to send in Bitcoin with the empty promise of sending more cryptocurrency back. 
The hackers hi… [+3643 chars]",-0.1027,0.129,0.139,0.732,"['last', 'week', 'hackers', 'took', 'control', 'several', 'popular', 'youtube', 'channels', 'broadcast', 'scam', 'asking', 'people', 'send', 'bitcoin', 'empty', 'promise', 'sending', 'cryptocurrency', 'backthe', 'hackers', 'hi', 'chars']"
12,2020-08-12,"Bitcoin is making up for lost gains after hitting a one-week low. Over on Ethereum, the fee situation continues to be problematic for traders.
<ul><li>Bitcoin (BTC) trading around $11,595 as of 20:0… [+4142 chars]",-0.5994,0.062,0.189,0.749,"['bitcoin', 'making', 'lost', 'gains', 'hitting', 'oneweek', 'low', 'ethereum', 'fee', 'situation', 'continues', 'problematic', 'tradersullibitcoin', 'btc', 'trading', 'around', 'chars']"
13,2020-08-06,"Rally is launching a cryptocurrency dubbed Creator Coin that will help influencers, content creators, and streamers run their own virtual economies. And while its all virtual, Creator Coin is a new w… [+12652 chars]",0.4019,0.08,0.0,0.92,"['rally', 'launching', 'cryptocurrency', 'dubbed', 'creator', 'coin', 'help', 'influencers', 'content', 'creators', 'streamers', 'run', 'virtual', 'economies', 'virtual', 'creator', 'coin', 'new', 'w', 'chars']"
14,2020-08-17,"What happened
The stock market was nearly flat on Monday, with the Dow Jones Industrial Average in the red, and both the S&amp;P 500 and Nasdaq Composite higher by less than 1% as of 3 p.m. EDT.
Ho… [+1259 chars]",0.0,0.0,0.0,1.0,"['happenedthe', 'stock', 'market', 'nearly', 'flat', 'monday', 'dow', 'jones', 'industrial', 'average', 'red', 'sampp', 'nasdaq', 'composite', 'higher', 'less', 'pm', 'edtho', 'chars']"
15,2020-08-07,"Bitcoins price is trending down and an Ethereum competitor is entering the DeFi race this weekend.
<ul><li>Bitcoin (BTC) trading around $11,579 as of 20:00 UTC (4 p.m. ET). Slipping 2.4% over the pr… [+3882 chars]",0.0,0.0,0.0,1.0,"['bitcoins', 'price', 'trending', 'ethereum', 'competitor', 'entering', 'defi', 'race', 'weekendullibitcoin', 'btc', 'trading', 'around', 'utc', 'pm', 'et', 'slipping', 'pr', 'chars']"
16,2020-08-13,"It was a match made in Silicon Valley heaven. The token-funded startup cLabs just acquired the decentralized finance (DeFi) startup Summa, best known for making wrapped Ethereum tokens that can repre… [+1905 chars]",0.8176,0.2,0.0,0.8,"['match', 'made', 'silicon', 'valley', 'heaven', 'tokenfunded', 'startup', 'clabs', 'acquired', 'decentralized', 'finance', 'defi', 'startup', 'summa', 'best', 'known', 'making', 'wrapped', 'ethereum', 'tokens', 'repre', 'chars']"
17,2020-08-18,"Bitcoins prices were off from Mondays high. Meanwhile, high fees on Ethereum helped decentralized exchange Uniswap rake in $7 million over the past month.
<ul><li>Bitcoin (BTC) trading around $12,00… [+4634 chars]",0.0,0.0,0.0,1.0,"['bitcoins', 'prices', 'mondays', 'high', 'meanwhile', 'high', 'fees', 'ethereum', 'helped', 'decentralized', 'exchange', 'uniswap', 'rake', 'million', 'past', 'monthullibitcoin', 'btc', 'trading', 'around', 'chars']"
18,2020-09-01,"Smart contract platforms have the potential to impact society significantly and Ethereum (ETH-USD) is currently the clear leader in the space, although there are competitors who arguably have superio… [+26563 chars]",0.5106,0.15,0.057,0.793,"['smart', 'contract', 'platforms', 'potential', 'impact', 'society', 'significantly', 'ethereum', 'ethusd', 'currently', 'clear', 'leader', 'space', 'although', 'competitors', 'arguably', 'superio', 'chars']"
19,2020-08-10,"Ethereum Classic developers were still licking fresh wounds late last week when yet another 51% attack was launched against their blockchain early Thursday morning. 
And as the bits settle, the proo… [+5898 chars]",-0.0772,0.103,0.084,0.813,"['ethereum', 'classic', 'developers', 'still', 'licking', 'fresh', 'wounds', 'late', 'last', 'week', 'yet', 'another', 'attack', 'launched', 'blockchain', 'early', 'thursday', 'morningand', 'bits', 'settle', 'proo', 'chars']"
20,2020-09-01,"Ethereum transaction fees have soared to new all-time highs for the second time in three weeks, according to on-chain data analyzed by CoinDesk.
<ul><li>As of Tuesday, average and median transaction… [+1917 chars]",0.0,0.0,0.0,1.0,"['ethereum', 'transaction', 'fees', 'soared', 'new', 'alltime', 'highs', 'second', 'time', 'three', 'weeks', 'according', 'onchain', 'data', 'analyzed', 'coindeskullias', 'tuesday', 'average', 'median', 'transaction', 'chars']"
21,2020-08-25,"Bitcoin is looking bearish while Ethereum miners are reaping more fee revenue than ever before.
<ul><li>Bitcoin (BTC) trading around $11,298 as of 20:00 UTC (4 p.m. ET). Slipping 3.8% over the previ… [+4087 chars]",0.0,0.0,0.0,1.0,"['bitcoin', 'looking', 'bearish', 'ethereum', 'miners', 'reaping', 'fee', 'revenue', 'ever', 'beforeullibitcoin', 'btc', 'trading', 'around', 'utc', 'pm', 'et', 'slipping', 'previ', 'chars']"
22,2020-08-05,"WarGames, a movie from 1983, stars a young Matthew Broderick as a computer whiz kid who accidentally connects into a top secret super-computer which has complete control over the U.S. nuclear arsenal… [+5172 chars]",-0.1531,0.056,0.075,0.87,"['wargames', 'movie', 'stars', 'young', 'matthew', 'broderick', 'computer', 'whiz', 'kid', 'accidentally', 'connects', 'top', 'secret', 'supercomputer', 'complete', 'control', 'us', 'nuclear', 'arsenal', 'chars']"
23,2020-08-05,"Decentralized finance (DeFi) has been clogging the Ethereum network, but not in the way most analysts would have guessed. 
An architectural quirk in the most-used software version of Ethereum, Geth,… [+2471 chars]",0.0,0.0,0.0,1.0,"['decentralized', 'finance', 'defi', 'clogging', 'ethereum', 'network', 'way', 'analysts', 'would', 'guessedan', 'architectural', 'quirk', 'mostused', 'software', 'version', 'ethereum', 'geth', 'chars']"
24,2020-08-13,"With Ethereum transaction fees soaring, the daily profit that can be achieved by miners on the network is now at its highest point in 27 months.
<ul><li>Data from BitInfoCharts shows that the daily … [+1885 chars]",0.4404,0.079,0.0,0.921,"['ethereum', 'transaction', 'fees', 'soaring', 'daily', 'profit', 'achieved', 'miners', 'network', 'highest', 'point', 'monthsullidata', 'bitinfocharts', 'shows', 'daily', 'chars']"
25,2020-08-12,"Why the ether supply dust-up was about much more than the supply of ether.
For more episodes and free early access before our regular 3 p.m. Eastern time releases, subscribe with Apple Podcasts, Spo… [+1541 chars]",0.552,0.095,0.0,0.905,"['theethersupply', 'dustup', 'much', 'supply', 'etherformore', 'episodesand', 'free', 'early', 'access', 'regular', 'pm', 'eastern', 'time', 'releases', 'subscribe', 'withapple', 'podcasts', 'spo', 'chars']"
26,2020-08-05,Ethereums biggest-ever upgrade is supposed to make the blockchain network faster and more efficient. But the new staking system could lock up so many of the networks native ether tokens that investor… [+5471 chars],0.4754,0.086,0.0,0.914,"['ethereums', 'biggestever', 'upgrade', 'supposed', 'make', 'blockchain', 'network', 'faster', 'efficient', 'new', 'staking', 'system', 'could', 'lock', 'many', 'networks', 'native', 'ether', 'tokens', 'investor', 'chars']"
27,2020-08-06,"Ethereum Classic was hit again, Instagram is seeing a proliferation of crypto scams and shipments of Bitmain’s latest bitcoin mining machines have been delayed. 
Youre reading Blockchain Bites, the … [+8698 chars]",-0.6908,0.0,0.169,0.831,"['ethereum', 'classic', 'hit', 'instagram', 'seeing', 'proliferation', 'crypto', 'scams', 'shipments', 'bitmains', 'latest', 'bitcoin', 'mining', 'machines', 'delayed', 'youre', 'readingblockchain', 'bites', 'chars']"
28,2020-08-09,"Human ingenuity finds a way around limitations. Sometimes these limitations are obstacles in the way of progress, and creative thinking comes up with new paths. Sometimes these limitations are a lack… [+14392 chars]",0.4767,0.157,0.072,0.771,"['human', 'ingenuity', 'finds', 'way', 'around', 'limitations', 'sometimes', 'limitations', 'obstacles', 'way', 'progress', 'creative', 'thinking', 'comes', 'new', 'paths', 'sometimes', 'limitations', 'lack', 'chars']"
29,2020-08-13,"Congestion is building on the Ethereum blockchain, the second-largest blockchain, thanks to the recent popularity of dollar-linked “stablecoins” and “decentralized finance” applications like Compound… [+5225 chars]",0.8176,0.27,0.0,0.73,"['congestion', 'building', 'ethereum', 'blockchain', 'secondlargest', 'blockchain', 'thanks', 'recent', 'popularity', 'ofdollarlinked', 'stablecoins', 'decentralized', 'finance', 'applications', 'like', 'compound', 'chars']"
30,2020-08-13,"Ethereum users are paying through the nose while miners profit. Coinbase is offering bitcoin-backed loans and nearly a quarter of the Tor Network may be compromised by a crypto-loving scammer. 
Your… [+6223 chars]",0.4404,0.088,0.0,0.912,"['ethereum', 'users', 'paying', 'nose', 'miners', 'profit', 'coinbase', 'offering', 'bitcoinbacked', 'loans', 'nearly', 'quarter', 'tor', 'network', 'may', 'compromised', 'cryptoloving', 'scammeryour', 'chars']"
31,2020-08-11,"Ethereum and Bitcoin advocates have engaged in spirited Twitter exchange since Friday to answer an ostensibly simple question: Whats the total supply of ether?
Its not quite clear where the question… [+4258 chars]",0.3817,0.134,0.064,0.802,"['ethereum', 'bitcoin', 'advocates', 'engaged', 'spirited', 'twitter', 'exchange', 'since', 'friday', 'answer', 'ostensibly', 'simple', 'question', 'whats', 'total', 'supply', 'etherits', 'quite', 'clear', 'question', 'chars']"
32,2020-08-06,"DisclosureThe leader in blockchain news, CoinDesk is a media outlet that strives for the highest journalistic standards and abides by a strict set of editorial policies. CoinDesk is an independent op… [+103 chars]",0.0,0.0,0.0,1.0,"['disclosurethe', 'leader', 'blockchain', 'news', 'coindesk', 'media', 'outlet', 'strives', 'highest', 'journalistic', 'standards', 'abides', 'strict', 'set', 'editorial', 'policies', 'coindesk', 'independent', 'op', 'chars']"
33,2020-08-19,"Tether has adopted Ethereum scaling solution OMG Network amidst record demand for settlement space on the world computer.
The integration [between Tether and OMG Network] will result in a reduction … [+2320 chars]",0.2023,0.07,0.046,0.884,"['tether', 'adopted', 'ethereum', 'scaling', 'solution', 'omg', 'network', 'amidst', 'record', 'demand', 'settlement', 'space', 'world', 'computerthe', 'integration', 'tether', 'omg', 'network', 'result', 'reduction', 'chars']"
34,2020-08-21,"Concept of DEFI.
getty
DeFi (decentralized finance) is a revolution, but all uprisings can implode with the smallest of hitch or get crushed by the boot of the established order. They are also most… [+5645 chars]",-0.5719,0.0,0.098,0.902,"['concept', 'defigettydefi', 'decentralized', 'finance', 'revolution', 'uprisings', 'implode', 'smallest', 'hitch', 'get', 'crushed', 'boot', 'established', 'order', 'also', 'chars']"
35,2020-08-21,"INX is gearing up for a landmark IPO, 1 billion tether jumped from Tron to Ethereum and a shift in bitcoin’s options market suggests bullish speculation is beginning to ease.
Youre reading Blockchai… [+7081 chars]",0.4215,0.112,0.0,0.888,"['inx', 'gearing', 'landmark', 'ipo', 'billion', 'tether', 'jumped', 'tron', 'ethereum', 'shift', 'bitcoins', 'options', 'market', 'suggests', 'bullish', 'speculation', 'beginning', 'easeyoure', 'readingblockchai', 'chars']"
36,2020-08-26,"Baseline Protocol, where corporates can use the Ethereum public mainnet as a common frame of reference among different systems of record, has released its Version 1.0. 
Announced Wednesday, the Micr… [+2946 chars]",0.0,0.0,0.0,1.0,"['baseline', 'protocol', 'corporates', 'use', 'ethereum', 'public', 'mainnet', 'common', 'frame', 'reference', 'among', 'different', 'systems', 'record', 'released', 'version', 'announced', 'wednesday', 'micr', 'chars']"
37,2020-08-25,"Quorum, the enterprise blockchain platform developed by mega-bank JPMorgan Chase, being acquired by ConsenSys, the Brooklyn, N.Y.-based Ethereum venture studio.
Additionally, JPMorgan has made an un… [+4956 chars]",0.0,0.0,0.0,1.0,"['quorum', 'enterprise', 'blockchain', 'platform', 'developed', 'megabank', 'jpmorgan', 'chase', 'acquired', 'consensys', 'brooklyn', 'nybased', 'ethereum', 'venture', 'studioadditionally', 'jpmorgan', 'made', 'un', 'chars']"
38,2020-08-25,"Decentralized finance (DeFi) credit market Aave has pulled ahead of stablecoin mint MakerDAO for the title of most collateral staked on Ethereum, according to DeFi Pulse.
Aave now has $1.47 billion-… [+2825 chars]",0.3818,0.075,0.0,0.925,"['decentralized', 'finance', 'defi', 'credit', 'market', 'aave', 'pulled', 'ahead', 'stablecoin', 'mint', 'makerdao', 'title', 'collateral', 'staked', 'ethereum', 'according', 'defi', 'pulseaave', 'billion', 'chars']"
39,2020-08-23,"When the news came out last month that the U.S. Office of the Comptroller of the Currency (OCC) had cleared banks to custody crypto assets, you may remember that I expressed surprise that the new cry… [+11840 chars]",0.4939,0.133,0.0,0.867,"['news', 'came', 'last', 'month', 'us', 'office', 'comptroller', 'currency', 'occ', 'cleared', 'banks', 'custody', 'crypto', 'assets', 'may', 'remember', 'expressed', 'surprise', 'new', 'cry', 'chars']"
40,2020-09-02,"Bitcoin took a dive Wednesday. Ethereum miners are benefiting from all that DeFi.
<ul><li>Bitcoin (BTC) trading around $11,396 as of 20:00 UTC (4 p.m. ET). Slipping 4.8% over the previous 24 hours.<… [+4701 chars]",0.0,0.0,0.0,1.0,"['bitcoin', 'took', 'dive', 'wednesday', 'ethereum', 'miners', 'benefiting', 'defiullibitcoin', 'btc', 'trading', 'around', 'utc', 'pm', 'et', 'slipping', 'previous', 'hours', 'chars']"
41,2020-09-05,"It wasnt long ago the Ethereum 2.0 upgrade went live on an official test network. Developers have been catching mission-critical bugs in the code ever since. 
For more episodes and free early access… [+2271 chars]",0.552,0.095,0.0,0.905,"['wasnt', 'long', 'ago', 'ethereum', 'upgrade', 'went', 'live', 'official', 'test', 'network', 'developers', 'catching', 'missioncritical', 'bugs', 'code', 'ever', 'sinceformore', 'episodesand', 'free', 'early', 'access', 'chars']"
42,2020-08-06,"Ethereum Classic has suffered a second 51% attack in a week Thursday morning after more than 4,000 blocks were reorganized.
Mining pool Ethermines parent entity Bitfly and exchange Binance reported … [+4211 chars]",-0.8158,0.0,0.239,0.761,"['ethereum', 'classic', 'suffered', 'second', 'attack', 'week', 'thursday', 'morning', 'blocks', 'reorganizedmining', 'pool', 'ethermines', 'parent', 'entity', 'bitfly', 'exchange', 'binance', 'reported', 'chars']"
43,2020-08-18,"Bitcoin (BTC) was flat after jumping on Monday to a new 2020 high above $12,400. 
Analysts are now speculating whether the largest cryptocurrency can hold the higher ground. The latest move up came … [+8690 chars]",0.0,0.0,0.0,1.0,"['bitcoin', 'btc', 'flat', 'jumping', 'monday', 'new', 'high', 'analysts', 'speculating', 'whether', 'largest', 'cryptocurrency', 'hold', 'higher', 'ground', 'latest', 'move', 'came', 'chars']"
44,2020-08-18,"Floods are dampening bitcoin mining hashrates, Ethereum Classic may be thrown off its most popular exchange and bitcoin is moving off exchanges.
Youre reading Blockchain Bites, the daily roundup of … [+6225 chars]",0.4754,0.091,0.0,0.909,"['floods', 'dampening', 'bitcoin', 'mining', 'hashrates', 'ethereum', 'classic', 'may', 'thrown', 'popular', 'exchange', 'bitcoin', 'moving', 'exchangesyoure', 'readingblockchain', 'bites', 'daily', 'roundup', 'chars']"
45,2020-08-25,"Everyone may be talking about governance on Ethereum, but the yet-to-launch stablecoin startup Liquity is taking a contrarian view: zero governance. 
That doesn’t mean it won’t offer a yield farming… [+6616 chars]",0.0,0.0,0.0,1.0,"['everyone', 'may', 'talking', 'governance', 'ethereum', 'yettolaunch', 'stablecoin', 'startup', 'liquity', 'taking', 'contrarian', 'view', 'zero', 'governancethat', 'doesnt', 'mean', 'wont', 'offer', 'yield', 'farming', 'chars']"
46,2020-08-20,"Theres a joke in the world of digital advertising: How many companies does it take to put an ad on a website? 
In fact, there can be as many as 15 intermediaries participating in this opaque process… [+3862 chars]",0.296,0.058,0.0,0.942,"['theres', 'joke', 'world', 'digital', 'advertising', 'many', 'companies', 'take', 'put', 'ad', 'websitein', 'fact', 'many', 'intermediaries', 'participating', 'opaque', 'process', 'chars']"
